iter	Accuracy	Logloss
0	0.785615491	0.686597499
1	0.7859612725	0.6801715901
2	0.790802213	0.6739059039
3	0.7939142462	0.6670126491
4	0.7942600277	0.6607060734
5	0.7949515906	0.6543263231
6	0.7966804979	0.6483695206
7	0.7966804979	0.6425569325
8	0.795988935	0.6375831505
9	0.7939142462	0.6326578187
10	0.7952973721	0.6273619082
11	0.7956431535	0.6222800323
12	0.795988935	0.6171184026
13	0.7942600277	0.6124645661
14	0.7946058091	0.6083922353
15	0.7956431535	0.6041065598
16	0.795988935	0.6000005054
17	0.7970262794	0.5961621166
18	0.7970262794	0.5926047185
19	0.7963347165	0.5890311541
20	0.7980636238	0.5852978082
21	0.7963347165	0.5815722188
22	0.7956431535	0.5778936061
23	0.7966804979	0.5742150668
24	0.7952973721	0.5712492344
25	0.795988935	0.5681652365
26	0.7956431535	0.5652639909
27	0.7956431535	0.5621226322
28	0.7963347165	0.5591515118
29	0.7970262794	0.5561664954
30	0.7977178423	0.5533778064
31	0.7977178423	0.5507946086
32	0.7966804979	0.5482045819
33	0.7966804979	0.5458973426
34	0.7963347165	0.543338614
35	0.7973720609	0.5407279225
36	0.7970262794	0.5382963529
37	0.7977178423	0.5357748103
38	0.7977178423	0.5335026759
39	0.7980636238	0.5311585507
40	0.7966804979	0.5292139965
41	0.7980636238	0.5270883357
42	0.7970262794	0.5253067205
43	0.7973720609	0.5237850446
44	0.7973720609	0.5218891796
45	0.7970262794	0.5200561214
46	0.7973720609	0.5181629403
47	0.7973720609	0.5164177397
48	0.7973720609	0.5146449234
49	0.7984094053	0.5131824082
50	0.7980636238	0.5114518344
51	0.7977178423	0.5097199727
52	0.7987551867	0.5080990226
53	0.7987551867	0.5069397682
54	0.7980636238	0.5056418123
55	0.7977178423	0.50414248
56	0.7984094053	0.5028824683
57	0.7980636238	0.5015719448
58	0.7980636238	0.5002809856
59	0.7977178423	0.4988695206
60	0.7987551867	0.4975558493
61	0.7987551867	0.4964095563
62	0.7987551867	0.4951311583
63	0.7997925311	0.494119382
64	0.8001383126	0.4929860419
65	0.8001383126	0.4918595603
66	0.8001383126	0.4909208345
67	0.7997925311	0.4897256718
68	0.8001383126	0.4886369413
69	0.8001383126	0.4877512243
70	0.8001383126	0.4868370172
71	0.8001383126	0.4856330664
72	0.8001383126	0.4846937494
73	0.8001383126	0.4838307791
74	0.8001383126	0.4829089411
75	0.8001383126	0.4822133354
76	0.7997925311	0.4812161054
77	0.8004840941	0.4802457679
78	0.801175657	0.4791182893
79	0.8008298755	0.4783314429
80	0.8004840941	0.4775350756
81	0.8004840941	0.4767765213
82	0.8001383126	0.4760277097
83	0.8004840941	0.4754077375
84	0.8001383126	0.474676837
85	0.8008298755	0.4737818772
86	0.8004840941	0.4732243235
87	0.8008298755	0.472582923
88	0.801175657	0.4718946417
89	0.8015214385	0.4711698418
90	0.801175657	0.470475658
91	0.801175657	0.4697259463
92	0.801175657	0.4690300419
93	0.8018672199	0.4682542201
94	0.801175657	0.4676458149
95	0.8018672199	0.4669448786
96	0.8022130014	0.4663769013
97	0.8025587828	0.4656784174
98	0.8022130014	0.4650491811
99	0.8022130014	0.4645562606
100	0.8022130014	0.4639479057
101	0.8022130014	0.463573301
102	0.8025587828	0.4628797302
103	0.8039419087	0.4622269019
104	0.8046334716	0.4615349956
105	0.8053250346	0.4609754807
106	0.8053250346	0.4603746428
107	0.806362379	0.4599550409
108	0.805670816	0.4594886057
109	0.8046334716	0.4589586756
110	0.8053250346	0.4585065437
111	0.8060165975	0.457991612
112	0.8080912863	0.4576110086
113	0.8080912863	0.4572058637
114	0.8080912863	0.4566534205
115	0.8084370678	0.4561497926
116	0.8087828492	0.4557033572
117	0.8087828492	0.4553517459
118	0.8087828492	0.4548703355
119	0.8091286307	0.4543706596
120	0.8098201936	0.4538750054
121	0.8098201936	0.4533496213
122	0.8105117566	0.4529478247
123	0.811549101	0.4524842105
124	0.8112033195	0.452079363
125	0.811549101	0.4517427273
126	0.8118948824	0.4513103306
127	0.811549101	0.4509486181
128	0.811549101	0.450501581
129	0.8112033195	0.4503800717
130	0.811549101	0.4499947873
131	0.8118948824	0.4495669327
132	0.8118948824	0.4493189064
133	0.811549101	0.4490293056
134	0.811549101	0.4486469802
135	0.811549101	0.4479737068
136	0.8118948824	0.4475456519
137	0.8118948824	0.447235602
138	0.8122406639	0.4469536303
139	0.8129322268	0.4465199151
140	0.8125864454	0.4462668413
141	0.8122406639	0.44590468
142	0.8125864454	0.445551181
143	0.8125864454	0.4452867582
144	0.8129322268	0.4449552101
145	0.8136237898	0.4446873109
146	0.8132780083	0.4443604235
147	0.8136237898	0.4438507047
148	0.8136237898	0.4435446261
149	0.8136237898	0.4431628364
150	0.8136237898	0.4428369256
151	0.8136237898	0.4425583305
152	0.8139695712	0.4421934698
153	0.8139695712	0.4418300458
154	0.8143153527	0.4415469824
155	0.8143153527	0.4412991613
156	0.8143153527	0.4409032517
157	0.8143153527	0.4406437807
158	0.8143153527	0.4403339432
159	0.8139695712	0.4399334653
160	0.8139695712	0.4397354354
161	0.8143153527	0.4394669707
162	0.8146611342	0.4392741145
163	0.8143153527	0.4390472397
164	0.8139695712	0.4387559217
165	0.8146611342	0.4385545156
166	0.8143153527	0.4382978858
167	0.8143153527	0.4379940738
168	0.8146611342	0.437700605
169	0.8146611342	0.4374208455
170	0.8146611342	0.4370546991
171	0.8143153527	0.4368224986
172	0.8153526971	0.4365518362
173	0.8153526971	0.4361450006
174	0.81604426	0.4358775438
175	0.81604426	0.4355419842
176	0.8163900415	0.4353041199
177	0.81604426	0.4350368745
178	0.8163900415	0.4348125828
179	0.8163900415	0.434649621
180	0.8163900415	0.4344195669
181	0.8156984786	0.4341083227
182	0.81604426	0.4337672071
183	0.8156984786	0.4336118954
184	0.816735823	0.4333369624
185	0.8163900415	0.4331547247
186	0.816735823	0.4329614842
187	0.8170816044	0.4327752701
188	0.8170816044	0.4325100804
189	0.8170816044	0.4322606003
190	0.816735823	0.431935544
191	0.816735823	0.4316497481
192	0.8174273859	0.4313057852
193	0.8177731674	0.4310484557
194	0.8177731674	0.4307889208
195	0.8170816044	0.4306431639
196	0.8177731674	0.4304142381
197	0.8181189488	0.4301274757
198	0.8181189488	0.4298693894
199	0.8177731674	0.4297016332
200	0.8177731674	0.429434257
201	0.8174273859	0.4292959651
