iter	Passed	Remaining
0	67	67835
1	70	35029
2	71	23801
3	75	18734
4	77	15388
5	78	13069
6	80	11405
7	81	10159
8	83	9180
9	85	8418
10	86	7789
11	88	7258
12	89	6786
13	90	6401
14	92	6087
15	94	5794
16	95	5544
17	99	5403
18	100	5189
19	101	4993
20	103	4816
21	105	4670
22	106	4525
23	107	4386
24	109	4255
25	110	4136
26	111	4023
27	113	3933
28	114	3841
29	116	3758
30	117	3683
31	119	3612
32	120	3541
33	122	3470
34	123	3402
35	124	3336
36	125	3273
37	127	3215
38	128	3168
39	130	3122
40	131	3076
41	132	3027
42	133	2981
43	135	2940
44	137	2907
45	138	2880
46	141	2859
47	142	2832
48	144	2801
49	145	2771
50	147	2744
51	149	2718
52	150	2691
53	151	2660
54	153	2631
55	154	2602
56	155	2573
57	156	2546
58	157	2519
59	159	2495
60	161	2485
61	163	2467
62	164	2448
63	166	2431
64	168	2420
65	169	2401
66	171	2384
67	172	2367
68	175	2369
69	177	2362
70	179	2347
71	180	2331
72	182	2318
73	184	2304
74	185	2289
75	187	2273
76	188	2260
77	189	2244
78	191	2229
79	192	2213
80	193	2197
81	194	2181
82	196	2166
83	197	2151
84	198	2136
85	199	2123
86	201	2111
87	202	2102
88	204	2089
89	205	2076
90	206	2065
91	208	2053
92	209	2043
93	210	2031
94	212	2021
95	213	2012
96	215	2004
97	216	1994
98	218	1984
99	219	1975
100	220	1965
101	222	1956
102	223	1949
103	225	1938
104	226	1928
105	227	1918
106	228	1910
107	230	1902
108	231	1895
109	233	1887
110	234	1880
111	236	1873
112	237	1866
113	239	1860
114	240	1851
115	242	1846
116	243	1840
117	245	1831
118	246	1824
119	247	1818
120	249	1812
121	251	1807
122	252	1801
123	253	1793
124	255	1786
125	256	1778
126	257	1770
127	258	1763
128	260	1759
129	261	1752
130	263	1747
131	264	1741
132	266	1735
133	267	1728
134	268	1722
135	270	1715
136	271	1708
137	272	1705
138	274	1698
139	275	1692
140	276	1685
141	278	1679
142	279	1674
143	280	1670
144	282	1665
145	283	1659
146	285	1653
147	286	1648
148	287	1642
149	289	1638
150	290	1632
151	291	1627
152	292	1621
153	294	1618
154	296	1616
155	298	1612
156	299	1607
157	301	1605
158	302	1600
159	303	1594
160	304	1589
161	306	1583
162	307	1579
163	309	1575
164	310	1572
165	312	1567
166	313	1563
167	314	1559
168	316	1554
169	317	1550
170	318	1545
171	320	1541
172	321	1536
173	322	1531
174	323	1527
175	325	1522
