iter	F1	Logloss
0	0.7433123045	0.6586836343
1	0.7508668537	0.6267413103
2	0.7486987253	0.6031590538
3	0.7602582931	0.5856363017
4	0.7610597908	0.5649376328
5	0.7622329366	0.5502307807
6	0.7711100853	0.5377486787
7	0.7706190129	0.5279096503
8	0.7741790613	0.516691584
9	0.7778583593	0.5118558819
10	0.7761412677	0.5062162281
11	0.77836523	0.5000818578
12	0.7797635916	0.495110911
13	0.7807584157	0.4895885978
14	0.7818892931	0.4852706371
15	0.782459095	0.4802889427
16	0.7810606278	0.4780693652
17	0.7821149022	0.4758180159
18	0.7823790349	0.4735017296
19	0.7821105676	0.4703524301
20	0.7837249869	0.4681417953
21	0.7849616229	0.4656589052
22	0.7846820643	0.4647795981
23	0.7853027065	0.4622776785
24	0.7868043722	0.460823334
25	0.7880238464	0.4596773288
26	0.7868566935	0.458396109
27	0.7895218052	0.4555547289
28	0.78896795	0.4541991464
29	0.7895782631	0.4527046315
30	0.790575758	0.4521917061
31	0.7906853816	0.4508625625
32	0.7928904803	0.4493880926
33	0.7935063178	0.4480670364
34	0.7931230469	0.4467609286
35	0.7935657224	0.4458208053
36	0.7929064748	0.4447338252
37	0.7941839326	0.4436790338
38	0.7956096498	0.4423177137
39	0.7955588218	0.4422525001
40	0.7949488984	0.4415983122
41	0.7967170913	0.440132196
42	0.7955588218	0.439478283
43	0.7963814835	0.4382359519
44	0.7961074518	0.4376924987
45	0.7975509091	0.4364154275
46	0.7974388512	0.4359358738
47	0.7979366521	0.4348333291
48	0.7980912207	0.4343551943
49	0.798581219	0.4334276749
50	0.7989172954	0.4332281281
51	0.7989172954	0.4332281204
52	0.7994858264	0.4322980706
53	0.799003073	0.4314694751
54	0.799332742	0.4314147395
55	0.7992765357	0.4308480243
56	0.8001519995	0.4305183798
57	0.799332742	0.4300660676
58	0.7999434185	0.4293377719
59	0.800762108	0.4290521422
60	0.8005456606	0.4290384471
61	0.8005456606	0.428902895
62	0.8001040044	0.4286076156
63	0.8005933731	0.4281093461
64	0.7999353157	0.4279569425
65	0.8003123061	0.4274962376
66	0.8003123061	0.4270917244
67	0.8002644346	0.4264646345
68	0.7999915373	0.4263071342
69	0.8005371439	0.4261169399
70	0.8011944647	0.4254699454
71	0.8011382281	0.4250396073
72	0.8007534443	0.4245667041
73	0.8007534443	0.4245482661
74	0.8013632219	0.4240371698
75	0.8013632219	0.4238524926
76	0.801522855	0.4236625298
77	0.8012507092	0.4236039946
78	0.8010346286	0.4229418846
79	0.8021324433	0.4226205543
80	0.8026494002	0.4216979362
81	0.8026494002	0.4215263118
82	0.8027058106	0.4214407785
83	0.8030444396	0.420740428
84	0.8038140612	0.419838707
85	0.8032599322	0.4196645244
86	0.8037118157	0.4185949779
87	0.8030547125	0.418229287
88	0.8037118157	0.4180210131
89	0.8034963895	0.4176446056
90	0.8034963895	0.4174581364
91	0.8030547125	0.4170299605
92	0.8031112185	0.4166434787
93	0.8037791167	0.4165781576
94	0.8035069834	0.416056724
95	0.8035069834	0.4160547065
96	0.8044359652	0.4154172147
97	0.8044359652	0.4153473087
98	0.8047755913	0.4150819283
99	0.8047755913	0.4150819279
100	0.8051604301	0.4146467976
101	0.8055451118	0.4142333914
102	0.8058163029	0.4137690165
103	0.8060996964	0.4135448028
104	0.8068116419	0.4132955999
105	0.8071957266	0.4127536837
106	0.8072959924	0.4122832375
107	0.8071957266	0.4114962556
108	0.8072959924	0.4110658421
109	0.8087730618	0.4105685381
110	0.8086595457	0.4104988168
111	0.8082334905	0.4101103237
112	0.8085601396	0.4098722084
113	0.8086169181	0.4098255165
114	0.8091138012	0.4093781549
115	0.8088015613	0.4087811993
116	0.8091282841	0.4082836913
117	0.8098949465	0.4080160112
118	0.8096823386	0.4073615288
119	0.8099518355	0.4069714645
120	0.8100656376	0.4066325259
121	0.8105057085	0.4059030459
122	0.8103918599	0.4053221113
123	0.8106765415	0.4047237343
124	0.8116542452	0.4040596712
125	0.8123385593	0.4033397454
126	0.8127783692	0.4029451799
127	0.8133720164	0.4026730128
128	0.814193435	0.4019343048
129	0.8143648979	0.4013029659
130	0.8147284968	0.400691389
131	0.8152815499	0.4003068824
132	0.8150142995	0.3998043528
133	0.8152815499	0.3991098488
134	0.8165971156	0.39858522
135	0.8163304247	0.3982045523
136	0.8163876787	0.3977493134
137	0.8166543687	0.3972188315
138	0.8170553648	0.3965885602
139	0.8185061902	0.395577275
140	0.8197062447	0.3951418111
141	0.8193039904	0.3946919535
142	0.8199718046	0.3940995652
143	0.8204672097	0.3935224141
144	0.820374446	0.3931082573
145	0.8211928332	0.3925404335
146	0.8208700688	0.3920116953
147	0.8215384973	0.3915024612
148	0.8217691017	0.3909504342
149	0.8218844524	0.3905155372
150	0.8221494361	0.3895672888
151	0.8225873167	0.3886164377
152	0.8229673562	0.388046226
153	0.8237601039	0.3875720213
154	0.8244281923	0.3872016541
155	0.8244532811	0.3867222686
156	0.8244532811	0.3860543385
157	0.8249808396	0.3854880323
158	0.8249554021	0.384939729
159	0.825276507	0.384571149
160	0.8258286296	0.3841003167
161	0.8259703951	0.383544997
162	0.8263492879	0.3826791197
163	0.8262914045	0.382158057
164	0.8265229866	0.3817948731
165	0.8262019505	0.38092216
166	0.8263177769	0.3805560809
167	0.8266967583	0.380154391
168	0.8275122283	0.3798966975
169	0.8278907622	0.3793965816
170	0.828211143	0.3790208091
171	0.8283271493	0.3787651433
172	0.8283271493	0.3785293396
173	0.8282388391	0.3779155104
174	0.8286473682	0.3773409489
175	0.8297811243	0.3769481734
176	0.8303038951	0.3764620587
177	0.8300425994	0.3762110356
178	0.8301006636	0.3755215921
179	0.8312622793	0.3750456934
180	0.8313786044	0.3745059512
181	0.8313786044	0.3737465668
182	0.8328867592	0.3733740744
183	0.8322216156	0.3724950542
184	0.8327153936	0.3721431713
185	0.8330342094	0.37171526
186	0.8323658525	0.3711787643
187	0.8325405864	0.3706382476
188	0.8330342094	0.3698796144
189	0.8333840825	0.369499086
190	0.8334424233	0.3690960269
191	0.8338462567	0.3686183656
192	0.834514704	0.3682722676
193	0.8354429508	0.3680484611
194	0.8362538753	0.3676163269
195	0.8365714085	0.3670693738
196	0.8370057512	0.3665117786
197	0.8367468762	0.3662640075
198	0.8366883788	0.3657415239
199	0.8368638957	0.3654478042
200	0.8378740901	0.3649176426
201	0.8379326389	0.3644740457
202	0.8379326389	0.3638597927
203	0.8390234445	0.363317755
204	0.8387070964	0.3628142018
205	0.838859163	0.3624573433
206	0.838859163	0.3621543538
207	0.8393163113	0.3616264947
208	0.8401830412	0.3611628994
209	0.8411666941	0.360729991
210	0.8412253982	0.3604267208
211	0.8420913419	0.3598506298
212	0.8419738523	0.3591835999
213	0.8426629394	0.3587712556
214	0.8425454423	0.3585999224
215	0.8421716365	0.3582752491
216	0.8425454423	0.3580928531
217	0.8430953972	0.3576176322
218	0.843724739	0.3571064276
219	0.8442155808	0.3565657819
220	0.8442744064	0.3564743852
221	0.8452166944	0.3560375577
222	0.8457070455	0.355482956
223	0.8454521494	0.3553235146
224	0.846706239	0.35508822
225	0.8474501091	0.3546180156
226	0.8474501091	0.3542519691
227	0.8478807683	0.3538369377
228	0.8480165377	0.3531469626
229	0.8485058194	0.3527104171
230	0.8492481617	0.3522981599
231	0.8489360484	0.3519641383
232	0.8488180906	0.3514481459
233	0.8485058194	0.3512103278
234	0.8485647884	0.3510513146
235	0.8484882774	0.3507403834
236	0.8488424266	0.3504457435
237	0.8488250751	0.3498382582
238	0.8499400144	0.3493697448
239	0.8498808918	0.3489257633
240	0.8496867601	0.3486404041
241	0.8510536033	0.3483547029
242	0.8517952469	0.3478663064
243	0.8524178616	0.3471911478
244	0.8524770728	0.346682362
245	0.8524027492	0.3463203147
246	0.8529510587	0.3458413289
247	0.85351381	0.3454751243
