iter	Passed	Remaining
0	3	3992
1	8	4081
2	13	4450
3	18	4524
4	25	5147
5	30	5003
6	35	4988
7	39	4949
8	44	4883
9	48	4806
10	53	4841
11	58	4789
12	62	4772
13	68	4813
14	73	4819
15	77	4786
16	82	4778
17	87	4792
18	92	4778
19	96	4734
20	100	4701
21	104	4652
22	108	4622
23	114	4649
24	118	4635
25	123	4612
26	127	4604
27	132	4592
28	136	4586
29	141	4585
30	144	4526
31	150	4548
32	154	4534
33	159	4529
34	165	4550
35	168	4520
36	173	4514
37	177	4498
38	181	4481
39	185	4448
40	189	4430
41	193	4412
42	198	4417
43	203	4428
44	208	4424
45	212	4408
46	217	4416
47	222	4403
48	225	4368
49	229	4360
50	232	4331
51	234	4276
52	238	4262
53	242	4250
54	245	4222
55	250	4218
56	254	4212
57	258	4204
58	263	4202
59	267	4192
60	269	4154
61	273	4136
62	278	4139
63	282	4131
64	285	4112
65	290	4107
66	295	4113
67	299	4105
68	302	4086
69	306	4075
70	310	4063
71	315	4065
72	320	4063
73	322	4031
74	326	4022
75	329	4011
76	334	4012
77	336	3982
78	340	3974
79	345	3977
80	351	3991
81	356	3990
82	359	3976
83	364	3969
84	369	3973
85	372	3964
86	377	3966
87	382	3967
88	386	3958
89	391	3960
90	396	3958
91	400	3954
92	406	3961
93	409	3946
94	414	3944
95	416	3926
96	421	3920
97	424	3903
98	428	3896
99	429	3869
100	434	3865
101	439	3865
102	443	3865
103	447	3857
104	451	3848
105	455	3843
106	459	3837
107	464	3836
108	469	3836
109	473	3829
110	476	3818
111	481	3815
112	486	3820
113	489	3804
114	493	3799
115	497	3794
116	501	3788
117	505	3780
118	510	3778
119	514	3773
120	519	3773
121	523	3766
122	528	3767
123	532	3760
124	536	3756
125	541	3754
126	545	3752
127	551	3755
128	555	3753
129	561	3757
130	566	3760
131	572	3761
132	576	3759
133	580	3754
134	586	3759
135	591	3759
136	596	3754
137	600	3752
138	605	3749
139	609	3745
140	614	3745
141	619	3745
142	625	3746
143	629	3744
144	634	3740
145	639	3738
146	643	3734
147	647	3729
148	652	3727
149	657	3728
150	663	3728
151	667	3723
152	672	3724
153	676	3716
154	680	3711
155	685	3710
156	691	3713
157	696	3713
158	701	3711
159	706	3709
160	710	3703
161	716	3704
162	720	3701
163	725	3696
164	730	3696
165	737	3703
166	742	3701
167	746	3699
168	750	3692
169	755	3686
170	759	3680
171	763	3675
172	768	3673
173	773	3672
174	777	3667
175	782	3665
176	787	3661
177	792	3657
178	797	3657
179	802	3657
180	807	3652
181	813	3656
182	817	3651
183	822	3646
184	826	3641
185	830	3635
186	836	3636
187	840	3631
188	845	3629
189	850	3626
190	856	3626
191	860	3621
192	865	3616
193	869	3611
194	874	3609
195	879	3605
196	883	3602
197	889	3601
198	893	3596
199	897	3591
200	902	3587
201	907	3583
202	911	3580
203	916	3574
204	920	3570
205	925	3566
206	929	3562
207	934	3557
208	938	3553
209	943	3547
210	948	3545
211	952	3540
212	956	3535
213	960	3528
214	964	3523
215	969	3517
216	973	3511
217	977	3508
218	983	3505
219	987	3499
220	991	3495
221	996	3490
222	1000	3487
