iter	SMAPE	RMSE
0	8.521054046	8.496419841
1	8.433024385	8.411773
2	8.334938449	8.327654306
3	8.260805929	8.261480165
4	8.187864291	8.184636452
5	8.116784739	8.107455583
6	8.038293423	8.039127082
7	7.962572641	7.957319659
8	7.885006711	7.887675704
9	7.808451539	7.819123193
10	7.754477092	7.758236634
11	7.702712065	7.704715485
12	7.641684827	7.644518588
13	7.59495278	7.593480303
14	7.531931979	7.517942317
15	7.489020655	7.470347125
16	7.445773948	7.426019196
17	7.399978441	7.375948316
18	7.364761678	7.334489101
19	7.332343209	7.291338002
20	7.307496857	7.246155287
21	7.274896903	7.205111584
22	7.253065738	7.171366642
23	7.213964853	7.127815552
24	7.181319074	7.096438195
25	7.163602312	7.068814435
26	7.149382051	7.037989588
27	7.128292412	7.010841646
28	7.106112656	6.973879593
29	7.09120683	6.947619304
30	7.062806038	6.919265539
31	7.037396714	6.886955225
32	7.018385034	6.862209393
33	6.998694111	6.834868149
34	6.972987289	6.803493886
35	6.952209505	6.774335483
36	6.937712758	6.750066767
37	6.924943734	6.726302551
38	6.906713374	6.696497578
39	6.896925618	6.676875136
40	6.877202686	6.655800612
41	6.861992896	6.634156691
42	6.85193551	6.614779056
43	6.840030754	6.593146108
44	6.826345446	6.569181912
45	6.812173961	6.547713293
46	6.798896085	6.527168271
47	6.793225194	6.515013124
48	6.782226826	6.498146024
49	6.771751645	6.477934327
50	6.760096392	6.459915288
51	6.74393249	6.443605654
52	6.728254782	6.422374691
53	6.72276979	6.410641035
54	6.707004741	6.385877859
55	6.696922289	6.371057111
56	6.686192185	6.355731966
57	6.668449753	6.334539071
58	6.658768573	6.316205316
59	6.649294305	6.299915265
60	6.642886536	6.284039267
61	6.63382328	6.262455144
62	6.619916943	6.245175662
63	6.607469003	6.233447213
64	6.598121549	6.214865025
65	6.591343541	6.200971891
66	6.586099884	6.185306489
67	6.575548558	6.17103245
68	6.55833998	6.15308948
69	6.548562189	6.138532955
70	6.537280282	6.123780018
71	6.529939883	6.109189518
72	6.525208361	6.098923731
73	6.519065327	6.083146219
74	6.513066949	6.073545383
75	6.508876233	6.060375448
76	6.494153518	6.045919801
77	6.487261016	6.033829231
78	6.484307746	6.025445735
79	6.472218378	6.013770718
80	6.465751963	6.003437879
81	6.459307112	5.993816324
82	6.449078141	5.978473584
83	6.444106091	5.969343275
84	6.440067287	5.953496574
85	6.434495835	5.941706956
86	6.43098059	5.933594942
87	6.421058538	5.923319382
88	6.407887814	5.909078639
89	6.403364995	5.90006168
90	6.398855282	5.889519755
91	6.392642328	5.878646611
92	6.389836249	5.867364088
93	6.379115776	5.853819851
94	6.367332268	5.836949306
95	6.358907118	5.824987113
96	6.354898201	5.818837049
97	6.346288894	5.805434348
98	6.343544158	5.799355278
99	6.335873638	5.790151286
100	6.332546517	5.780782519
101	6.32762067	5.768939097
102	6.319696991	5.759419051
103	6.310473592	5.749510798
104	6.294195823	5.735358063
105	6.280079157	5.722533291
106	6.271968313	5.71126846
107	6.265426806	5.700990124
108	6.26358811	5.693033157
109	6.248239257	5.677594573
110	6.243014286	5.667179435
111	6.235347499	5.653081513
112	6.231130307	5.646379323
113	6.227145637	5.636874886
114	6.223488011	5.631003396
115	6.215973819	5.619139701
116	6.203609641	5.610103666
117	6.194444408	5.603048205
118	6.192108975	5.595157234
119	6.187325493	5.58643897
120	6.180834951	5.57632036
121	6.17584492	5.568108662
122	6.168153787	5.558022595
123	6.165064151	5.553166266
124	6.159336471	5.543652768
125	6.150495268	5.53489688
126	6.14844851	5.524668625
127	6.143714899	5.513917911
128	6.140242467	5.50104081
129	6.136127963	5.494209576
130	6.131701847	5.488693493
131	6.128603371	5.483277564
132	6.119680035	5.474860281
133	6.108770674	5.463515664
134	6.103910041	5.457641842
135	6.102571157	5.452379563
136	6.096907907	5.441797399
137	6.091190799	5.433047285
