iter	Passed	Remaining
0	8	8540
1	18	9464
2	29	9680
3	38	9686
4	51	10166
5	61	10140
6	71	10079
7	81	10047
8	92	10132
9	102	10160
10	111	10021
11	125	10373
12	135	10322
13	144	10154
14	152	10036
15	161	9904
16	169	9822
17	177	9701
18	186	9633
19	194	9552
20	205	9563
21	213	9495
22	222	9439
23	230	9384
24	241	9426
25	253	9478
26	263	9494
27	277	9643
28	287	9631
29	299	9680
30	317	9929
31	328	9945
32	469	13752
33	501	14252
34	519	14316
35	548	14676
36	568	14801
37	577	14609
38	587	14472
39	603	14487
40	617	14454
41	626	14296
42	636	14158
43	645	14016
44	653	13860
45	662	13729
46	669	13582
47	678	13451
48	685	13313
49	694	13201
50	703	13082
51	712	12981
52	721	12888
53	730	12792
54	738	12687
55	747	12601
56	755	12499
57	764	12410
58	772	12313
59	783	12268
60	792	12205
61	802	12143
62	817	12163
63	833	12183
64	850	12228
65	867	12281
66	878	12237
67	887	12159
68	895	12087
69	903	12008
70	913	11946
71	924	11918
72	932	11839
73	941	11779
74	951	11729
75	959	11669
76	968	11612
77	978	11564
78	986	11500
79	995	11452
80	1015	11524
81	1038	11626
82	1048	11585
83	1059	11558
84	1071	11535
85	1082	11508
86	1091	11453
87	1099	11394
88	1109	11353
89	1118	11304
90	1126	11251
91	1134	11196
92	1143	11148
93	1156	11146
94	1172	11173
95	1188	11192
96	1212	11283
97	1237	11390
98	1247	11356
99	1259	11336
100	1283	11421
101	1294	11401
102	1309	11401
103	1319	11364
104	1326	11310
105	1337	11281
106	1345	11228
107	1354	11186
108	1362	11138
109	1371	11096
110	1379	11050
111	1388	11007
112	1396	10959
113	1404	10919
114	1415	10891
115	1423	10851
116	1432	10810
117	1442	10779
118	1454	10769
119	1463	10735
120	1474	10711
121	1484	10684
122	1492	10644
123	1502	10612
124	1511	10580
125	1521	10553
126	1533	10539
127	1555	10595
128	1569	10596
129	1583	10596
130	1597	10599
131	1608	10578
132	1617	10544
133	1625	10506
134	1640	10511
135	1656	10520
136	1666	10496
137	1674	10457
138	1683	10428
139	1697	10426
140	1713	10439
141	1729	10447
142	1739	10425
143	1749	10397
144	1760	10379
145	1768	10344
146	1778	10317
147	1787	10292
148	1812	10350
149	1828	10360
150	1836	10325
151	1845	10295
152	1855	10272
153	1864	10241
154	1872	10207
155	1881	10178
156	1889	10144
157	1897	10113
158	1908	10092
159	1916	10062
160	1924	10031
161	1934	10007
162	1946	9992
163	1956	9971
164	1966	9952
165	1978	9938
166	1987	9916
167	1997	9893
168	2007	9868
169	2016	9847
170	2026	9825
171	2035	9797
172	2043	9769
173	2051	9740
174	2060	9712
175	2068	9684
176	2077	9659
177	2085	9629
178	2093	9603
179	2101	9574
180	2110	9548
181	2118	9519
182	2126	9494
183	2134	9465
184	2143	9441
185	2150	9413
186	2159	9388
187	2167	9362
188	2176	9337
189	2184	9312
190	2192	9287
191	2201	9262
192	2209	9240
193	2217	9214
194	2226	9190
195	2234	9165
196	2242	9142
197	2250	9116
198	2259	9093
199	2269	9076
200	2278	9056
201	2287	9034
202	2295	9013
203	2304	8993
204	2313	8970
205	2321	8949
206	2335	8946
207	2353	8962
208	2362	8940
209	2370	8919
210	2379	8895
211	2387	8875
212	2396	8855
213	2405	8834
214	2415	8818
215	2429	8816
216	2443	8815
217	2451	8795
218	2460	8774
219	2470	8758
220	2479	8738
221	2489	8722
222	2497	8700
223	2505	8679
224	2513	8658
225	2527	8654
226	2544	8663
227	2559	8667
228	2568	8648
229	2582	8644
230	2590	8624
231	2600	8609
232	2611	8595
233	2619	8575
234	2627	8553
235	2636	8535
236	2644	8512
237	2652	8493
238	2661	8473
239	2669	8454
240	2677	8433
241	2686	8414
242	2694	8393
243	2704	8378
244	2713	8362
245	2724	8349
246	2795	8521
247	2816	8540
248	2832	8543
249	2840	8522
250	2851	8510
251	2860	8492
252	2869	8471
253	2877	8450
254	2886	8432
255	2894	8411
256	2902	8390
257	2910	8369
258	2919	8354
259	2935	8355
260	2950	8355
261	2964	8351
262	2975	8339
263	3002	8371
264	3012	8356
265	3028	8357
266	3038	8341
267	3048	8327
268	3056	8306
269	3065	8289
270	3073	8268
271	3082	8251
272	3091	8232
273	3099	8212
274	3107	8193
275	3116	8174
276	3123	8153
277	3131	8134
278	3140	8116
279	3149	8097
280	3157	8078
281	3168	8066
282	3185	8071
283	3208	8087
284	3221	8081
285	3230	8065
286	3238	8044
287	3246	8026
288	3254	8006
289	3263	7988
290	3271	7970
291	3280	7953
292	3288	7935
293	3297	7918
294	3310	7910
295	3317	7891
296	3327	7876
297	3335	7857
298	3344	7840
299	3352	7821
300	3360	7805
301	3386	7826
302	3412	7849
303	3431	7856
304	3444	7848
305	3452	7829
306	3464	7820
307	3484	7828
308	3496	7818
309	3510	7812
310	3518	7795
311	3528	7781
312	3539	7767
313	3546	7749
314	3556	7734
315	3576	7740
316	3595	7746
317	3605	7733
318	3614	7715
319	3622	7698
320	3630	7680
321	3639	7663
322	3649	7649
323	3663	7642
324	3686	7657
325	3697	7644
326	3706	7627
327	3720	7621
328	3729	7606
329	3738	7589
330	3746	7571
331	3755	7555
332	3763	7537
333	3772	7521
334	3779	7503
335	3788	7485
336	3796	7469
337	3806	7455
338	3841	7489
339	3853	7479
340	3871	7481
341	3880	7466
342	3891	7453
343	3900	7438
344	3926	7455
345	3941	7450
346	3951	7436
347	3968	7435
348	3978	7420
349	3986	7404
350	3995	7387
351	4005	7374
352	4038	7401
353	4050	7391
354	4065	7386
355	4073	7369
356	4082	7352
357	4093	7339
358	4104	7327
359	4116	7317
360	4124	7301
361	4133	7285
362	4141	7267
363	4150	7252
364	4160	7238
365	4169	7222
366	4177	7205
367	4186	7189
368	4194	7172
369	4202	7155
370	4211	7139
371	4219	7122
372	4227	7106
373	4236	7090
374	4244	7073
375	4252	7056
376	4260	7040
377	4268	7023
378	4276	7007
379	4285	6992
380	4294	6977
381	4306	6967
382	4317	6955
383	4325	6939
384	4334	6923
385	4344	6910
386	4353	6895
387	4362	6880
388	4373	6869
389	4382	6855
390	4391	6839
391	4401	6827
392	4439	6856
393	4451	6846
394	4462	6835
395	4471	6819
396	4480	6804
397	4487	6788
398	4496	6772
399	4503	6755
400	4512	6740
401	4520	6724
402	4528	6708
403	4536	6692
404	4545	6678
405	4554	6663
406	4563	6648
407	4571	6632
408	4579	6617
409	4586	6600
410	4595	6585
411	4603	6569
412	4611	6554
413	4619	6538
414	4627	6523
415	4635	6507
416	4644	6492
417	4651	6477
418	4660	6461
419	4668	6447
420	4677	6432
421	4685	6417
422	4694	6403
423	4710	6399
424	4728	6396
425	4740	6387
426	4753	6378
427	4764	6366
428	4774	6354
429	4786	6344
430	4795	6330
431	4810	6325
432	4827	6320
433	4837	6308
434	4848	6296
435	4861	6288
436	4869	6273
437	4877	6258
438	4887	6245
439	4900	6237
440	4912	6226
441	4925	6217
442	4933	6203
443	4943	6189
444	4952	6176
445	4960	6161
446	4968	6147
447	4976	6132
448	4985	6118
449	4996	6106
450	5014	6103
451	5025	6092
452	5042	6088
453	5053	6078
454	5069	6072
455	5077	6057
456	5086	6043
457	5099	6035
458	5108	6020
459	5116	6006
460	5125	5992
461	5133	5978
462	5141	5963
463	5150	5950
464	5159	5935
465	5167	5921
466	5176	5908
467	5185	5894
468	5201	5889
469	5231	5898
470	5241	5887
471	5250	5872
472	5258	5858
473	5267	5845
474	5275	5831
475	5286	5819
476	5307	5818
477	5341	5832
478	5349	5818
479	5358	5804
480	5367	5792
481	5378	5779
482	5388	5767
483	5397	5754
484	5406	5740
485	5416	5728
486	5425	5714
487	5437	5705
488	5465	5711
489	5474	5698
490	5485	5686
491	5498	5677
492	5515	5671
493	5525	5659
494	5535	5647
495	5545	5634
496	5555	5622
497	5563	5608
498	5572	5594
499	5582	5582
500	5590	5568
501	5599	5554
502	5606	5539
503	5615	5526
504	5623	5511
505	5632	5498
506	5640	5484
507	5650	5472
508	5660	5460
509	5670	5448
510	5679	5435
511	5689	5422
512	5699	5410
513	5707	5396
514	5715	5382
515	5723	5368
516	5735	5358
517	5757	5357
518	5768	5346
519	5778	5334
520	5794	5327
521	5812	5322
522	5823	5311
523	5836	5301
524	5845	5288
525	5854	5276
526	5864	5263
527	5889	5264
528	5911	5263
529	5923	5252
530	5936	5243
531	5945	5229
532	5958	5220
533	5966	5206
534	5975	5193
535	5983	5179
536	5991	5166
537	5999	5152
538	6008	5138
539	6017	5125
540	6026	5113
541	6047	5110
542	6067	5106
543	6087	5102
544	6115	5105
545	6134	5101
546	6143	5087
547	6152	5074
548	6159	5060
