iter	RMSE
0	4289.729024
1	4025.282539
2	3785.98017
3	3572.019007
4	3375.339616
5	3207.100457
6	3056.508757
7	2920.461904
8	2801.837675
9	2698.789179
10	2607.242792
11	2528.359845
12	2446.660533
13	2385.218132
14	2323.729056
15	2266.359926
16	2218.220616
17	2176.088916
18	2135.882327
19	2102.355175
20	2071.87186
21	2046.023715
22	2021.172051
23	1998.212138
24	1979.285383
25	1962.656659
26	1946.971899
27	1932.087784
28	1918.35943
29	1905.855842
30	1895.756805
31	1885.787463
32	1875.802464
33	1866.970916
34	1860.197022
35	1853.615809
36	1846.580044
37	1839.928078
38	1833.790667
39	1827.961406
40	1821.273038
41	1816.366039
42	1811.400617
43	1806.225203
44	1801.798966
45	1798.19306
46	1793.883538
47	1790.399497
48	1785.813386
49	1782.37008
50	1778.885125
51	1775.876608
52	1773.065309
53	1770.315986
54	1766.80934
55	1764.432746
56	1762.101872
57	1759.789403
58	1757.216447
59	1754.301038
60	1751.84436
61	1749.794417
62	1747.710955
63	1745.701287
64	1743.375215
65	1741.205419
66	1738.270451
67	1735.934337
68	1733.951438
69	1732.214327
70	1731.05055
71	1729.351271
72	1728.11025
73	1726.587931
74	1725.086151
75	1723.218647
76	1721.410787
77	1719.846769
78	1717.934852
79	1715.847755
80	1713.354997
81	1711.263871
82	1710.336699
83	1708.977036
84	1706.509638
85	1705.65263
86	1704.521964
87	1702.528724
88	1701.347073
89	1699.637511
90	1697.391084
91	1696.662183
92	1695.199332
93	1693.798467
94	1691.533155
95	1690.394005
96	1689.003615
97	1688.117353
98	1685.828491
99	1683.603417
100	1682.067757
101	1680.831262
102	1679.474665
103	1678.686309
104	1677.786568
105	1676.435123
106	1675.100414
107	1673.556218
108	1672.523364
109	1671.642146
110	1670.754406
111	1669.975538
112	1668.182836
113	1667.450642
114	1666.98019
115	1666.011585
116	1665.189706
117	1663.854344
118	1662.63176
119	1660.950563
120	1659.693227
121	1658.506268
122	1657.321938
123	1656.511207
124	1655.71842
125	1654.256234
126	1653.414914
127	1652.470824
128	1651.478924
129	1650.817418
130	1649.229316
131	1648.180559
132	1647.424846
133	1645.888283
134	1645.305353
135	1644.254872
136	1643.488192
137	1642.529852
138	1641.691896
139	1641.041337
140	1640.231831
141	1639.080505
142	1638.410255
143	1637.697962
144	1636.963339
145	1636.66683
146	1635.872861
147	1635.147167
148	1633.566311
149	1632.898913
150	1632.30605
151	1631.378161
152	1630.528178
153	1629.734265
154	1628.361896
155	1627.858322
156	1627.451311
157	1627.174124
158	1626.35106
159	1625.580255
160	1624.35313
161	1623.550301
162	1622.906016
163	1622.046794
164	1621.312582
165	1620.709664
166	1619.752846
167	1619.061218
168	1618.11747
169	1617.420011
170	1617.020208
171	1616.136986
172	1615.542147
173	1614.982852
174	1614.328048
175	1614.102263
176	1613.650169
177	1613.214001
178	1612.594678
179	1611.730776
180	1611.497688
181	1610.93846
182	1609.869376
183	1609.24553
184	1608.714371
185	1608.160125
186	1607.477021
187	1606.937605
188	1606.634753
189	1606.074736
190	1605.678738
191	1605.2168
192	1604.559871
193	1603.982794
194	1603.243936
195	1602.684499
196	1602.209664
197	1601.366244
198	1600.76553
199	1600.247217
200	1599.441054
201	1598.774298
202	1598.203249
203	1597.529963
204	1596.99606
205	1596.669223
206	1596.433629
207	1595.99284
208	1595.449315
209	1594.68494
210	1594.326879
211	1593.579795
212	1593.183508
213	1592.973534
214	1592.634573
215	1592.117608
216	1591.836699
217	1591.323059
218	1590.884431
219	1590.320994
220	1589.864522
221	1589.537062
222	1589.083831
223	1588.695349
224	1588.173293
225	1588.074299
226	1587.838909
227	1587.676699
228	1587.269348
229	1586.907118
230	1586.546202
231	1586.175584
232	1585.510698
233	1585.112925
234	1584.581739
235	1584.008086
236	1583.530047
237	1583.20588
238	1582.808181
239	1582.127259
240	1581.199305
241	1580.774197
242	1580.53368
243	1579.854202
244	1579.436717
245	1579.137469
246	1578.452813
247	1578.199297
248	1577.978286
249	1577.707742
250	1577.259937
251	1576.796316
252	1576.397334
253	1575.768306
