iter	Passed	Remaining
0	42	42245
1	77	38697
2	112	37311
3	147	36726
4	184	36627
5	217	36007
6	253	35938
7	284	35332
8	318	35065
9	354	35066
10	386	34792
11	417	34387
12	449	34132
13	486	34261
14	517	33978
15	547	33701
16	580	33589
17	617	33686
18	647	33409
19	680	33327
20	708	33029
21	740	32897
22	771	32782
23	801	32607
24	831	32419
25	856	32075
26	889	32054
27	923	32058
28	949	31780
29	972	31439
30	1001	31293
31	1032	31226
32	1062	31137
33	1091	31022
34	1122	30946
35	1155	30942
36	1192	31048
37	1283	32492
38	1334	32873
39	1375	33005
40	1403	32837
41	1437	32783
42	1495	33277
43	1523	33094
44	1552	32951
45	1580	32783
46	1615	32752
47	1648	32689
48	1673	32472
49	1708	32468
50	1738	32351
51	1770	32269
52	1802	32207
53	1834	32131
54	1862	32005
55	1890	31870
56	1925	31851
57	1956	31776
58	1987	31698
59	2010	31503
60	2041	31432
61	2072	31357
62	2106	31329
63	2138	31280
64	2163	31124
65	2199	31131
66	2225	30991
67	2259	30975
68	2285	30837
69	2320	30835
70	2359	30875
71	2397	30899
72	2426	30814
73	2455	30725
74	2487	30677
75	2516	30591
76	2545	30515
77	2579	30486
78	2617	30516
79	2642	30391
80	2668	30273
81	2693	30158
82	2722	30073
83	2751	30002
84	2779	29917
85	2812	29886
86	2842	29829
87	2874	29786
88	2900	29693
89	2931	29640
90	2955	29524
91	2981	29422
92	3009	29349
93	3028	29193
94	3058	29131
95	3093	29129
96	3130	29140
97	3163	29115
98	3190	29041
99	3220	28981
100	3250	28931
101	3277	28854
102	3314	28868
103	3358	28931
104	3387	28874
105	3412	28779
106	3442	28729
107	3470	28661
108	3501	28618
109	3532	28580
110	3561	28523
111	3585	28430
112	3609	28331
113	3645	28330
114	3675	28286
115	3711	28285
116	3743	28250
117	3770	28186
118	3794	28089
119	3824	28047
120	3869	28106
121	3901	28076
122	3940	28092
123	3973	28071
124	4006	28042
125	4034	27986
126	4066	27951
127	4086	27842
128	4108	27742
129	4142	27719
130	4175	27696
131	4201	27627
132	4232	27593
133	4259	27527
134	4294	27516
135	4322	27461
136	4355	27437
137	4384	27386
138	4415	27351
139	4442	27290
140	4475	27266
141	4511	27257
142	4546	27250
143	4585	27259
144	4613	27206
145	4650	27203
146	4680	27161
147	4715	27148
148	4747	27115
149	4782	27102
150	4813	27066
151	4851	27067
152	4876	26998
153	4908	26967
154	4953	27003
155	4987	26983
156	5056	27148
157	5104	27202
158	5147	27228
159	5178	27188
160	5210	27154
161	5249	27152
162	5285	27142
163	5318	27113
164	5361	27132
165	5398	27123
166	5430	27086
167	5468	27083
168	5511	27103
169	5546	27078
170	5587	27086
171	5621	27060
172	5664	27076
173	5701	27065
174	5736	27045
175	5788	27101
176	5827	27096
177	5876	27139
178	5922	27162
179	5963	27165
180	5995	27128
181	6026	27085
182	6056	27038
183	6092	27020
184	6137	27038
185	6180	27049
186	6223	27056
187	6258	27031
188	6293	27003
189	6322	26952
190	6352	26907
191	6382	26857
192	6409	26800
193	6435	26738
194	6463	26680
195	6499	26661
196	6524	26594
197	6555	26553
198	6585	26506
199	6619	26477
200	6650	26436
201	6680	26390
202	6709	26340
203	6737	26288
204	6767	26244
205	6802	26220
206	6836	26190
207	6869	26157
208	6899	26113
209	6928	26064
210	6963	26039
211	6987	25971
212	7018	25932
213	7050	25896
214	7076	25838
215	7110	25809
216	7138	25757
217	7166	25707
218	7193	25654
219	7221	25602
220	7260	25592
221	7293	25561
222	7335	25559
223	7370	25533
224	7400	25491
225	7425	25431
226	7446	25356
227	7472	25301
228	7501	25256
229	7531	25214
230	7564	25183
231	7593	25137
232	7620	25084
233	7647	25032
234	7676	24990
235	7706	24949
236	7738	24914
237	7763	24855
238	7790	24805
239	7819	24761
240	7866	24774
241	7895	24729
242	7922	24681
243	7952	24639
244	7984	24606
245	8011	24554
246	8045	24526
247	8075	24488
248	8107	24452
249	8138	24415
250	8174	24393
251	8208	24363
252	8241	24333
253	8264	24273
254	8291	24225
255	8321	24183
256	8374	24210
257	8414	24200
258	8454	24187
259	8496	24181
260	8522	24129
261	8556	24102
262	8593	24080
263	8621	24036
264	8659	24017
265	8690	23979
266	8723	23949
267	8768	23950
268	8803	23924
269	8854	23940
270	8895	23928
271	8930	23902
272	8960	23861
273	9016	23891
274	9042	23840
275	9070	23793
276	9095	23740
277	9128	23707
278	9157	23665
279	9190	23632
280	9218	23588
281	9251	23554
282	9273	23495
283	9304	23456
284	9342	23437
285	9382	23423
286	9416	23392
287	9452	23369
288	9476	23315
289	9508	23279
290	9541	23246
291	9577	23221
292	9606	23179
293	9638	23145
294	9663	23094
295	9702	23076
296	9727	23025
297	9763	22999
298	9799	22975
299	9834	22947
300	9865	22909
301	9899	22880
302	9928	22839
303	9962	22808
304	9992	22770
305	10029	22747
306	10062	22713
307	10099	22690
308	10145	22687
309	10167	22630
310	10199	22596
311	10245	22592
312	10282	22569
313	10319	22544
314	10360	22530
315	10391	22492
316	10430	22474
317	10462	22438
318	10491	22397
319	10529	22374
320	10568	22355
321	10602	22323
322	10629	22278
323	10657	22235
324	10683	22189
325	10716	22155
326	10745	22115
327	10783	22092
328	10854	22137
329	10893	22117
330	10927	22085
331	10961	22055
332	10986	22006
333	11015	21966
334	11049	21933
335	11076	21889
336	11108	21854
337	11142	21822
338	11178	21795
339	11218	21776
340	11252	21745
341	11293	21729
342	11335	21711
343	11373	21688
344	11410	21663
345	11446	21636
346	11477	21598
347	11509	21564
348	11541	21529
349	11578	21502
350	11602	21452
351	11634	21417
352	11667	21384
353	11695	21342
354	11724	21303
355	11746	21250
356	11776	21210
357	11802	21164
358	11831	21125
359	11856	21078
360	11893	21052
361	11921	21010
362	11955	20979
363	11985	20942
364	12020	20912
365	12052	20877
366	12089	20852
367	12120	20816
368	12150	20776
369	12179	20737
370	12210	20701
371	12236	20657
372	12264	20616
373	12297	20583
374	12326	20544
375	12358	20509
376	12391	20477
377	12424	20443
378	12460	20417
379	12496	20388
380	12524	20348
381	12555	20312
382	12589	20280
383	12625	20253
384	12651	20209
385	12689	20184
386	12720	20149
387	12753	20116
388	12779	20073
389	12813	20041
390	12842	20003
391	12869	19961
392	12900	19925
393	12923	19877
394	12954	19841
