iter	Passed	Remaining
0	64	64250
1	65	32913
2	67	22399
3	69	17189
4	70	14045
5	72	11942
6	73	10480
7	75	9366
8	77	8546
9	79	7871
10	81	7302
11	83	6841
12	85	6467
13	86	6120
14	89	5870
15	91	5611
16	92	5376
17	94	5174
18	96	5005
19	98	4848
20	100	4693
21	102	4561
22	104	4430
23	105	4303
24	107	4203
25	109	4103
26	111	4024
27	113	3941
28	115	3859
29	117	3785
30	119	3720
31	120	3650
32	122	3584
33	124	3526
34	126	3474
35	128	3440
36	130	3393
37	132	3345
38	133	3300
39	135	3257
40	137	3217
41	139	3178
42	141	3147
43	143	3111
44	145	3080
45	147	3049
46	149	3038
47	152	3029
48	154	2998
49	156	2968
50	158	2943
51	161	2939
52	163	2918
53	165	2896
54	167	2878
55	169	2859
56	171	2834
57	173	2810
58	175	2805
59	178	2789
60	179	2768
61	181	2751
62	183	2728
63	185	2712
64	187	2690
65	188	2673
66	190	2648
67	192	2634
68	193	2616
69	195	2602
70	197	2586
71	199	2571
72	201	2557
73	203	2545
74	205	2529
75	207	2517
76	209	2505
77	211	2500
78	213	2490
79	215	2474
80	217	2465
81	219	2456
82	221	2445
83	223	2436
84	225	2424
85	227	2414
86	228	2401
87	230	2388
88	232	2377
89	234	2368
90	236	2360
91	237	2348
92	239	2337
93	241	2326
94	243	2317
95	245	2311
96	247	2302
97	249	2294
98	251	2285
99	252	2276
100	254	2268
101	257	2263
102	259	2256
103	260	2248
104	262	2240
105	264	2233
106	266	2225
107	269	2225
108	271	2220
109	275	2230
110	279	2240
111	286	2273
112	289	2271
113	291	2269
114	293	2260
115	295	2251
116	297	2243
117	299	2235
118	301	2231
119	303	2222
120	304	2213
121	306	2207
122	308	2198
123	310	2190
124	312	2184
125	314	2178
126	315	2171
127	317	2164
128	319	2155
129	320	2147
130	322	2141
131	324	2134
132	326	2126
133	328	2119
134	329	2113
135	331	2106
136	333	2099
137	335	2094
138	336	2086
139	338	2080
140	340	2074
141	342	2067
142	343	2061
143	345	2054
144	347	2048
145	349	2042
146	350	2035
147	352	2030
148	354	2027
149	356	2022
150	358	2016
151	360	2010
152	361	2003
153	363	1997
154	365	1992
155	367	1988
156	369	1983
157	371	1977
158	373	1974
159	375	1969
160	376	1963
161	378	1958
162	380	1952
163	382	1947
164	383	1942
165	385	1936
166	387	1932
167	389	1928
168	391	1924
169	392	1917
170	394	1913
171	396	1907
172	398	1903
173	399	1897
174	401	1891
175	403	1887
176	404	1882
177	406	1879
178	408	1874
179	410	1870
180	412	1867
181	414	1862
182	416	1857
183	417	1852
184	419	1847
185	421	1842
186	422	1836
187	424	1831
188	425	1825
189	427	1822
190	428	1816
191	430	1812
192	432	1808
193	434	1803
194	435	1798
195	437	1793
196	438	1789
197	440	1785
198	442	1780
199	444	1776
200	445	1772
201	447	1768
202	449	1764
203	451	1760
204	453	1758
205	454	1753
206	456	1750
207	458	1745
208	460	1741
209	461	1737
210	463	1734
211	465	1730
212	467	1726
213	468	1721
214	470	1717
215	472	1714
216	473	1709
217	476	1708
218	478	1706
219	480	1703
220	482	1700
221	484	1696
222	485	1692
223	487	1689
224	489	1685
225	491	1682
226	493	1678
227	495	1676
228	496	1672
229	498	1668
230	499	1664
231	501	1661
232	503	1657
233	505	1654
234	507	1650
235	509	1647
236	510	1644
237	512	1640
238	514	1636
239	515	1632
240	517	1628
241	519	1626
242	520	1622
243	522	1619
244	524	1615
245	525	1611
246	528	1609
247	529	1605
248	531	1602
249	532	1598
250	534	1594
251	536	1591
252	537	1587
253	539	1584
254	541	1581
255	542	1577
256	544	1575
257	546	1572
258	548	1570
259	550	1566
260	552	1564
261	554	1561
262	555	1557
263	557	1554
264	559	1551
265	561	1548
266	563	1546
267	567	1549
268	571	1553
269	577	1560
270	582	1566
271	586	1568
272	588	1567
273	590	1564
274	593	1564
275	594	1560
276	596	1557
277	598	1554
278	600	1551
279	602	1548
280	604	1545
281	606	1544
282	608	1542
283	610	1539
284	612	1536
285	614	1534
286	617	1533
287	619	1531
288	621	1528
289	623	1526
290	625	1523
291	626	1519
292	629	1518
293	631	1515
294	632	1511
295	634	1509
296	636	1506
297	638	1503
298	640	1501
299	642	1498
300	643	1495
301	645	1492
302	647	1489
303	649	1486
304	650	1483
305	652	1480
306	654	1477
307	656	1475
308	658	1472
309	660	1469
310	661	1466
311	663	1463
312	665	1461
313	667	1458
314	669	1455
315	671	1452
316	673	1451
317	675	1449
318	677	1446
319	680	1445
320	682	1443
321	684	1441
322	686	1438
323	688	1436
324	690	1434
325	692	1431
326	694	1428
327	696	1426
328	698	1423
329	699	1420
330	701	1418
331	704	1416
332	706	1414
333	707	1411
334	709	1408
335	711	1406
336	714	1405
337	715	1402
338	717	1399
339	719	1396
340	721	1395
341	724	1393
342	725	1390
343	727	1387
344	730	1387
345	732	1384
346	734	1382
347	736	1379
348	738	1377
349	739	1374
350	741	1370
351	743	1368
352	745	1365
353	746	1363
354	748	1360
355	750	1357
356	751	1354
357	754	1353
358	756	1350
359	758	1348
360	760	1345
361	762	1343
362	764	1341
363	766	1339
364	768	1336
365	770	1335
366	772	1332
367	774	1329
368	775	1326
369	777	1324
370	779	1322
371	782	1320
372	783	1317
373	785	1314
374	787	1312
375	789	1309
376	790	1307
377	792	1304
378	794	1301
379	796	1299
380	798	1297
381	800	1295
382	802	1292
383	803	1289
384	805	1287
385	807	1284
386	809	1281
387	810	1279
388	812	1276
389	814	1274
390	816	1271
391	818	1269
392	820	1266
393	821	1263
394	823	1260
395	825	1258
396	826	1255
397	828	1253
398	829	1250
399	831	1247
400	833	1244
401	835	1242
402	836	1239
403	838	1236
404	839	1233
405	841	1231
406	843	1229
407	845	1226
408	846	1223
409	849	1221
410	850	1218
411	852	1216
412	854	1214
413	856	1212
414	858	1209
415	859	1206
416	861	1204
417	862	1201
418	864	1198
419	866	1196
420	867	1193
421	869	1190
422	871	1189
423	873	1186
424	875	1184
425	877	1181
426	878	1178
427	880	1176
428	881	1173
429	883	1171
430	885	1168
431	887	1166
432	888	1163
433	890	1160
434	891	1158
435	893	1155
436	895	1153
437	896	1150
438	898	1148
439	900	1145
440	902	1143
441	903	1141
442	905	1138
443	907	1136
444	909	1134
445	910	1131
446	912	1129
447	914	1126
448	916	1124
449	918	1122
450	920	1120
451	922	1117
452	923	1115
453	925	1112
454	927	1111
455	929	1108
456	930	1105
457	932	1103
458	933	1100
459	935	1098
460	937	1095
461	942	1097
462	943	1094
463	946	1093
464	960	1104
465	963	1104
466	967	1104
467	971	1104
468	984	1114
469	997	1124
470	1000	1124
471	1002	1121
472	1004	1119
473	1006	1117
474	1010	1116
475	1014	1116
476	1015	1113
477	1017	1111
478	1019	1108
479	1021	1106
480	1023	1104
481	1025	1101
482	1027	1099
483	1028	1096
484	1035	1099
485	1037	1096
486	1039	1094
487	1043	1094
488	1044	1091
489	1046	1089
490	1047	1086
491	1049	1084
492	1051	1081
493	1053	1078
494	1054	1076
495	1056	1073
496	1058	1071
497	1060	1068
498	1061	1065
499	1063	1063
500	1065	1060
501	1066	1058
502	1068	1055
503	1070	1053
504	1071	1050
505	1073	1047
506	1075	1045
507	1076	1042
508	1078	1040
509	1080	1038
510	1082	1035
511	1083	1032
512	1085	1030
513	1087	1028
514	1089	1025
515	1090	1023
516	1092	1020
517	1094	1018
518	1095	1015
519	1097	1013
520	1099	1011
521	1101	1008
522	1104	1007
523	1106	1004
524	1107	1002
525	1109	999
526	1111	997
527	1113	995
528	1114	992
529	1116	990
530	1118	987
531	1119	985
532	1121	982
533	1124	981
534	1126	979
535	1128	976
536	1130	974
537	1131	971
538	1133	969
539	1135	967
540	1136	964
541	1138	962
542	1141	960
543	1143	958
544	1145	956
545	1146	953
546	1148	951
547	1152	950
548	1153	947
549	1155	945
550	1157	943
551	1159	940
552	1160	938
553	1162	935
554	1165	934
555	1168	933
556	1170	930
557	1172	928
558	1174	926
559	1175	923
560	1177	921
561	1178	918
562	1181	917
563	1183	915
564	1185	912
565	1187	910
566	1189	908
567	1191	906
568	1193	904
569	1199	904
570	1200	902
571	1204	900
572	1206	899
573	1208	896
574	1210	894
575	1211	891
576	1214	890
577	1215	887
578	1217	885
579	1219	883
580	1222	881
581	1224	879
582	1225	876
583	1228	874
584	1230	872
585	1232	870
586	1233	868
587	1235	866
588	1238	864
589	1240	862
590	1242	860
591	1244	857
592	1247	855
593	1248	853
594	1250	851
595	1253	849
596	1257	848
597	1260	847
598	1262	845
599	1265	843
600	1269	842
601	1291	853
602	1293	851
603	1297	850
604	1301	849
605	1304	848
606	1336	865
607	1340	864
608	1344	863
609	1347	861
610	1349	859
611	1353	858
612	1356	856
613	1357	853
614	1359	851
615	1361	848
616	1363	846
617	1365	843
618	1367	841
619	1368	839
620	1370	836
621	1372	834
622	1374	831
623	1376	829
624	1378	827
625	1379	824
626	1381	821
627	1383	819
628	1386	817
629	1387	815
630	1389	812
631	1391	810
632	1393	807
633	1395	805
634	1396	802
635	1398	800
636	1400	798
637	1403	796
638	1405	793
639	1407	791
640	1409	789
641	1412	787
642	1413	784
643	1415	782
644	1417	780
645	1419	777
646	1421	775
647	1422	772
648	1424	770
649	1426	768
650	1428	765
651	1430	763
652	1432	761
653	1433	758
654	1435	756
655	1437	753
656	1439	751
657	1441	749
658	1443	746
659	1444	744
660	1446	741
661	1448	739
662	1449	736
663	1452	734
664	1453	732
665	1455	729
666	1457	727
667	1459	725
668	1461	722
669	1462	720
670	1464	718
671	1466	715
672	1467	713
673	1469	710
674	1471	708
675	1473	706
676	1475	703
677	1477	701
678	1479	699
679	1480	696
680	1482	694
681	1484	692
682	1485	689
683	1487	687
684	1489	684
685	1490	682
686	1493	680
687	1494	677
688	1496	675
689	1498	673
690	1499	670
691	1501	668
692	1503	666
693	1505	663
694	1507	661
695	1508	658
696	1510	656
697	1512	654
698	1514	651
699	1515	649
700	1517	647
701	1519	644
702	1520	642
703	1522	640
704	1524	637
705	1526	635
706	1528	633
707	1529	630
