iter	Passed	Remaining
0	6	5711
1	12	5680
2	20	6212
3	27	6124
4	36	6542
5	43	6543
6	50	6437
7	58	6550
8	64	6387
9	74	6629
10	81	6558
11	87	6443
12	96	6565
13	102	6494
14	109	6446
15	121	6686
16	129	6714
17	136	6681
18	143	6647
19	148	6513
20	154	6464
21	163	6516
22	173	6618
23	180	6575
24	192	6728
25	198	6680
26	205	6653
27	214	6673
28	220	6616
29	226	6581
30	234	6571
31	240	6528
32	251	6619
33	259	6615
34	264	6549
35	273	6574
36	280	6545
37	293	6647
38	300	6626
39	307	6615
40	314	6590
41	324	6625
42	333	6639
43	337	6574
44	343	6523
45	351	6517
46	356	6475
47	364	6462
48	372	6474
49	379	6444
50	386	6438
51	392	6406
52	399	6378
53	405	6354
54	412	6336
55	420	6341
56	426	6311
57	434	6313
58	442	6309
59	447	6271
60	452	6225
61	459	6207
62	465	6180
63	473	6182
64	481	6185
65	490	6197
66	498	6192
67	504	6171
68	510	6153
69	516	6129
70	524	6120
71	530	6095
72	538	6095
73	544	6072
74	549	6044
75	553	6004
76	559	5975
77	567	5976
78	588	6119
79	646	6626
80	666	6735
81	673	6716
82	679	6691
83	689	6694
84	694	6663
85	701	6643
86	711	6645
87	718	6628
88	726	6617
89	734	6613
90	740	6580
91	747	6561
92	754	6547
93	761	6530
94	769	6517
95	780	6538
96	789	6531
97	796	6519
98	804	6506
99	811	6491
100	820	6494
101	826	6467
102	833	6447
103	838	6419
104	845	6401
105	852	6386
106	858	6359
107	865	6344
108	871	6322
109	877	6305
110	883	6278
111	890	6263
112	898	6254
113	903	6231
114	911	6223
115	919	6217
116	925	6195
117	930	6166
118	937	6154
119	943	6134
120	948	6106
121	956	6101
122	965	6101
123	971	6081
124	979	6070
125	984	6049
126	988	6018
127	998	6019
128	1004	6001
129	1009	5981
130	1016	5968
131	1022	5946
132	1028	5931
133	1035	5918
134	1042	5907
135	1048	5887
136	1053	5869
137	1063	5871
138	1072	5869
139	1080	5866
140	1086	5847
141	1094	5843
142	1101	5832
143	1107	5813
144	1115	5809
145	1123	5799
146	1127	5777
147	1135	5767
148	1142	5758
149	1150	5753
150	1159	5752
151	1218	5996
152	1226	5986
153	1233	5976
154	1237	5949
155	1248	5953
156	1254	5937
157	1260	5920
158	1267	5905
159	1276	5904
160	1281	5883
161	1288	5868
162	1294	5855
163	1304	5856
164	1311	5842
165	1317	5824
166	1324	5813
167	1329	5791
168	1336	5782
169	1343	5768
170	1349	5754
171	1357	5745
172	1363	5731
173	1373	5731
174	1379	5713
175	1386	5703
176	1391	5685
177	1399	5677
178	1404	5657
179	1412	5649
180	1418	5633
181	1424	5618
182	1430	5604
183	1435	5586
184	1440	5568
185	1449	5565
186	1454	5546
187	1460	5532
188	1466	5515
189	1472	5500
190	1479	5493
191	1489	5492
192	1495	5479
193	1503	5471
194	1513	5471
195	1520	5462
196	1527	5450
197	1533	5437
198	1538	5419
199	1545	5409
200	1555	5408
201	1562	5398
202	1569	5389
203	1577	5382
204	1587	5380
205	1596	5377
206	1602	5364
207	1607	5349
208	1644	5436
209	1660	5454
210	1675	5470
211	1680	5453
212	1688	5445
213	1696	5438
214	1703	5426
215	1708	5410
216	1715	5399
217	1725	5398
218	1731	5385
219	1741	5382
220	1746	5365
221	1751	5350
222	1756	5331
223	1766	5330
224	1771	5315
225	1781	5313
226	1792	5313
227	1800	5305
228	1804	5288
229	1811	5275
230	1817	5264
231	1825	5254
232	1830	5239
233	1837	5230
234	1842	5214
235	1850	5206
236	1858	5199
237	1865	5189
238	1874	5184
239	1887	5191
240	1897	5187
241	1902	5172
242	1908	5160
243	1917	5153
244	1922	5140
245	1931	5135
246	1937	5122
247	1943	5109
248	1950	5099
249	1956	5087
250	1966	5085
251	1977	5085
252	1985	5077
253	1994	5071
254	2004	5069
255	2011	5059
256	2018	5049
257	2025	5041
258	2032	5030
259	2038	5017
260	2044	5005
261	2051	4994
262	2057	4982
263	2062	4969
264	2069	4960
265	2077	4951
266	2084	4942
267	2091	4933
268	2100	4926
269	2106	4916
270	2111	4900
271	2119	4892
272	2126	4884
