iter	Passed	Remaining
0	4	4204
1	8	3857
2	14	4279
3	19	4421
4	25	4575
5	32	4782
6	37	4846
7	44	4926
8	50	4967
9	56	4985
10	62	5028
11	68	5058
12	74	5076
13	81	5127
14	86	5123
15	92	5109
16	98	5100
17	104	5135
18	110	5116
19	116	5119
20	122	5128
21	129	5174
22	135	5168
23	142	5189
24	148	5200
25	155	5216
26	161	5216
27	167	5201
28	173	5221
29	179	5214
30	185	5207
31	193	5237
32	199	5249
33	206	5271
34	216	5342
35	223	5358
36	230	5380
37	236	5367
38	243	5368
39	249	5365
40	256	5381
41	264	5404
42	270	5390
43	276	5388
44	283	5392
45	289	5366
46	297	5395
47	304	5399
48	311	5413
49	318	5407
50	323	5391
51	331	5400
52	338	5407
53	344	5402
54	351	5401
55	359	5413
56	368	5456
57	374	5432
58	380	5430
59	386	5411
60	394	5423
61	401	5432
62	412	5475
63	420	5489
64	428	5505
65	434	5485
66	440	5475
67	447	5475
68	454	5468
69	460	5455
70	466	5450
71	472	5436
72	478	5420
73	485	5413
74	491	5404
75	499	5411
76	506	5416
77	513	5412
78	519	5396
79	527	5411
80	534	5403
81	540	5389
82	547	5391
83	557	5412
84	563	5402
85	569	5388
86	574	5372
87	582	5377
88	589	5370
89	596	5369
90	603	5361
91	610	5357
92	616	5353
93	622	5341
94	628	5329
95	636	5329
96	642	5322
97	649	5314
98	655	5300
99	660	5287
100	667	5281
101	673	5267
102	679	5258
103	685	5245
104	692	5240
105	697	5227
106	704	5221
107	711	5218
108	717	5210
109	724	5204
110	730	5191
111	736	5184
112	742	5171
113	749	5169
114	755	5157
115	762	5155
116	770	5154
117	778	5162
118	790	5188
119	797	5182
120	802	5169
121	809	5159
122	816	5157
123	823	5152
124	828	5137
125	834	5128
126	845	5146
127	852	5143
128	863	5160
129	869	5151
130	879	5163
131	885	5153
132	891	5139
133	897	5128
134	904	5125
135	909	5109
136	918	5114
137	924	5106
138	931	5098
139	938	5093
140	944	5085
141	951	5079
142	958	5072
143	964	5062
144	970	5053
145	976	5041
146	982	5031
147	988	5023
148	994	5012
149	1001	5005
150	1007	4997
151	1013	4986
152	1020	4980
153	1025	4968
154	1032	4960
155	1038	4952
156	1044	4942
157	1051	4936
158	1057	4930
159	1064	4921
160	1070	4913
161	1076	4905
162	1082	4895
163	1089	4890
164	1096	4883
165	1103	4879
166	1109	4869
167	1115	4861
168	1121	4850
169	1127	4842
170	1132	4829
171	1138	4818
172	1144	4809
173	1151	4804
174	1157	4793
175	1163	4784
176	1168	4773
177	1174	4763
178	1180	4756
179	1187	4749
180	1194	4745
181	1201	4740
182	1207	4732
183	1213	4723
184	1220	4716
185	1226	4709
186	1232	4697
187	1238	4689
188	1245	4683
189	1250	4672
190	1256	4663
191	1262	4654
192	1268	4645
193	1274	4636
194	1280	4628
195	1286	4621
196	1293	4614
197	1299	4608
198	1304	4595
199	1312	4594
200	1320	4593
201	1325	4580
202	1331	4572
203	1338	4567
204	1344	4557
205	1351	4551
206	1358	4546
207	1366	4545
208	1371	4535
209	1378	4528
210	1384	4521
211	1391	4516
212	1398	4511
213	1406	4507
214	1413	4504
215	1422	4505
216	1428	4496
217	1436	4494
218	1445	4495
219	1451	4486
220	1458	4481
221	1465	4475
222	1475	4479
223	1482	4473
224	1489	4468
225	1495	4459
226	1503	4456
227	1509	4448
228	1517	4447
229	1524	4439
230	1530	4431
231	1536	4423
232	1541	4413
233	1548	4407
234	1555	4402
235	1561	4392
236	1568	4388
237	1576	4385
238	1583	4378
239	1589	4371
240	1596	4364
241	1601	4355
242	1608	4348
243	1616	4345
244	1622	4337
245	1627	4326
246	1634	4320
247	1641	4316
248	1647	4308
249	1654	4300
250	1660	4292
251	1665	4283
252	1671	4275
